beta,c_max,k_c,f0,k_f,sse,peak,late_mean
0.06,350.0,0.005,0.12,0.1,4367.957877798775,107.2303101113859,106.4497547216416
0.06,400.0,0.015,0.15,0.25,4377.545638244447,108.95632296342161,107.86112668673152
0.07,350.0,0.005,0.1,0.2,4382.00026206862,107.4077229456779,106.49933764522206
0.07,450.0,0.01,0.12,0.1,4382.166134923616,112.08922404308615,111.08448397250844
0.07,300.0,0.005,0.1,0.25,4387.970575077655,109.15764457611668,108.15491169594755
0.06,300.0,0.015,0.15,0.25,4399.404665133807,111.75284281502105,110.58700524201939
0.06,450.0,0.01,0.15,0.2,4400.444155354868,105.78409684384569,104.89717707752524
0.07,400.0,0.005,0.1,0.15,4403.158023735064,106.07660536066615,105.26254482783298
0.07,350.0,0.01,0.15,0.25,4403.789377218847,114.12041225149493,112.98637032833386
0.07,450.0,0.015,0.12,0.2,4433.184019728921,111.48219651172134,110.25654879337364
0.06,350.0,0.015,0.15,0.15,4449.091538427737,112.48633103023417,111.36100601198035
0.06,450.0,0.02,0.15,0.2,4455.531707995355,110.3647112402541,109.19054256757222
0.07,450.0,0.015,0.15,0.2,4460.286044838526,114.20217305296542,112.98645611294005
0.07,450.0,0.015,0.12,0.25,4461.747996953354,110.76413139034923,109.53601824022027
0.06,300.0,0.015,0.15,0.2,4462.289662667215,112.55610041656917,111.39187238682152
0.06,300.0,0.005,0.15,0.1,4467.695222249828,112.46538268484377,111.62017319149903
0.06,450.0,0.02,0.15,0.15,4468.418184617696,111.70318935837325,110.5314250320039
0.06,400.0,0.02,0.15,0.2,4472.404657641972,111.54426520781533,110.34706491422145
0.07,450.0,0.005,0.12,0.25,4473.983847191077,103.87343038082182,103.1448524481092
0.07,450.0,0.01,0.1,0.1,4476.519069027651,109.6967812424641,108.67942507250443
0.06,300.0,0.005,0.12,0.15,4490.286765779894,107.15525413276954,106.28733811944318
0.06,400.0,0.02,0.15,0.25,4497.260924294463,110.74779742992322,109.54931364298405
0.07,400.0,0.01,0.1,0.15,4511.43488565831,109.5877675166983,108.5028477751121
0.07,350.0,0.005,0.12,0.1,4524.300279529445,112.81196370995507,111.93651075315906
0.06,350.0,0.02,0.15,0.25,4530.065884714419,111.93161544386197,110.70980521511589
0.07,300.0,0.005,0.15,0.2,4531.061405154982,114.24595629367882,113.27209980815867
0.06,450.0,0.015,0.15,0.1,4533.693077027404,112.38742545954307,111.33799362900547
0.07,350.0,0.005,0.1,0.25,4534.536556295701,106.83063813734974,105.91874997872343
0.06,450.0,0.015,0.15,0.25,4535.473122415264,107.58427350477679,106.52333460124346
0.07,450.0,0.015,0.12,0.15,4536.892865185303,112.70202774354298,111.48067515036732
0.07,400.0,0.015,0.12,0.25,4545.503340571808,112.37164567442198,111.10357346834364
0.06,450.0,0.02,0.15,0.25,4552.563466783661,109.5764212899704,108.40090134543573
0.06,400.0,0.005,0.15,0.25,4566.583145196785,103.67120367180173,102.96013250954122
0.06,350.0,0.01,0.12,0.1,4571.5089537630265,109.92260552092122,108.93401168759493
0.06,400.0,0.005,0.12,0.1,4573.944286655014,105.22479815762993,104.52107045427864
0.06,350.0,0.02,0.15,0.2,4579.316012463152,112.73634532572355,111.51574921420192
0.07,350.0,0.01,0.1,0.2,4583.072123940858,110.51203433119582,109.36239829321278
0.06,400.0,0.01,0.12,0.1,4587.290356892315,108.2497958228459,107.31360699801435
0.07,350.0,0.01,0.1,0.15,4588.1927176143245,111.51927697422234,110.37379192813239
0.07,350.0,0.01,0.12,0.15,4596.770624153926,113.5334914118969,112.39675640850923
