f0,t_hold,t_switch,k1,k2,sse,peak,mid_mean,late_mean,jump_pct,loss
0.18,12,35,0.05,0.3,20540.36520095001,125.32523922087545,124.50035258537748,118.46275210318863,4.847125499332305,26876.859563395472
0.2,8,35,0.05,0.2,20487.081126307374,125.43969048846455,124.6191034784104,118.5759005341883,5.174083000057905,26906.59603369582
0.16,10,50,0.04,0.3,19874.43560355935,126.61672564708567,125.79680817543874,119.61818130713806,4.520652702501038,27146.44597103964
0.18,8,40,0.04,0.3,20605.31359480561,125.93952154404141,125.10558326876033,118.99071336487985,4.847125499332305,27365.07737374549
0.16,8,40,0.03,0.2,20351.965596754362,126.30977036050218,125.48931585237631,119.35578016086475,4.520652702501038,27401.307170298147
0.16,10,45,0.04,0.12,19984.881891276156,126.53540827670813,125.83338151702678,119.97315350797967,4.520652702501038,27412.168158664
0.16,12,40,0.04,0.2,20509.572800307575,126.19094434028968,125.3692773665507,119.24643110654323,4.520652702501038,27470.168490066026
0.18,10,45,0.05,0.3,20569.754755660935,126.14993175425998,125.31620918816225,119.17782179922897,4.847125499332305,27481.43084674028
0.16,10,50,0.04,0.24,20087.051629421203,126.8031690113053,126.00692073930387,119.84214864845664,4.520652702501038,27530.223492356083
0.16,12,35,0.03,0.3,20891.385872256775,125.80792507480052,124.97489371538931,118.87566087227428,4.520652702501038,27560.697389995898
0.18,12,35,0.05,0.24,21112.552773889172,125.75235490644961,124.922145233564,118.83236354611493,4.847125499332305,27743.013234922033
0.16,10,35,0.03,0.16,20774.747580674135,126.22882719329473,125.41649985574782,119.31308997216358,4.520652702501038,27779.326857960055
0.18,10,45,0.05,0.24,20806.95719032809,126.37143551592399,125.54379107744046,119.38984853085087,4.847125499332305,27888.415909771124
0.16,10,50,0.04,0.2,20292.501455637022,126.96281867327528,126.19532802283138,120.06758279844618,4.520652702501038,27900.940508121068
0.18,10,35,0.04,0.3,21279.920837503592,125.85064062356192,125.01673391784443,118.91190217099586,4.847125499332305,27976.193837609175
0.18,10,40,0.05,0.12,20810.950295079117,126.36902269632674,125.60603138862848,119.61978669599627,4.847125499332305,28006.611108934056
0.2,8,35,0.05,0.16,21199.897452487083,125.99623456613882,125.17887762401729,119.08940811802678,5.174083000057905,28022.580504813166
0.18,8,35,0.04,0.12,20890.511252396664,126.3318948504356,125.55625663675218,119.54412082411565,4.847125499332305,28037.157725986694
0.18,8,40,0.04,0.24,21052.804376905202,126.31398497007486,125.47907455005722,119.32301560426767,4.847125499332305,28083.604170128692
0.18,10,45,0.05,0.2,21036.183859693887,126.57593550938122,125.75946763170387,119.60373756878738,4.847125499332305,28285.59111291104
0.16,10,50,0.04,0.16,20586.68284393446,127.16030334156505,126.43957304574319,120.40561570338552,4.520652702501038,28431.654176939686
0.16,12,40,0.04,0.16,21150.22770326026,126.71982586524712,125.9145784313976,119.77544421370925,4.520652702501038,28531.75515030634
0.18,12,35,0.05,0.2,21672.62891952112,126.17535714693679,125.34271964573527,119.20617528988424,4.847125499332305,28605.496170754686
0.16,8,40,0.03,0.16,21110.285693242844,126.93107299347116,126.12993088965338,119.97725172948078,4.520652702501038,28658.805728491792
0.18,8,40,0.04,0.2,21488.08605779642,126.67589274051177,125.84507245695661,119.65886917028973,4.847125499332305,28794.006436837113
0.16,12,35,0.03,0.24,21721.263116672657,126.41168530331304,125.57110585154376,119.39792680968914,4.520652702501038,28819.94226042128
0.18,10,45,0.05,0.16,21365.139993080156,126.84860009190953,126.05597764151005,119.92636377838016,4.847125499332305,28860.4526894884
0.2,8,40,0.05,0.3,21916.039757102397,126.4029919799399,125.56058738695938,119.38582450583598,5.174083000057905,29001.3180517904
0.18,10,35,0.04,0.24,21964.936749793927,126.34890937111635,125.50877173173936,119.34291455130449,4.847125499332305,29015.34409576291
0.16,10,50,0.04,0.12,21038.72511965918,127.40686635906111,126.76212203705782,120.95683161397301,4.520652702501038,29248.404592572875
0.16,8,35,0.02,0.3,22083.65483656688,126.58834236308017,125.74186999605692,119.5425123024201,4.520652702501038,29306.316802658534
0.18,10,50,0.05,0.3,21708.168845734883,127.21508604392591,126.37795132166514,120.11611266019486,4.847125499332305,29412.219210701907
0.2,8,40,0.05,0.24,22285.872499161596,126.70615315518845,125.86294798634962,119.6547633577584,5.174083000057905,29595.817997211598
