l_early,l_late,t_late,tau_b,b_slope,b_max,sse,peak,late_mean,loss
1600.0,1450.0,20,15,30.0,350.0,3383.711257753992,103.9268072119586,103.35351404529305,3782.207019646045
1600.0,1400.0,20,15,25.0,300.0,3385.3658880011103,103.91495749152193,103.34155589782168,3783.5289541037205
1600.0,1300.0,30,15,25.0,300.0,3391.0268433832,101.16712778346755,100.871654487136,3784.5991015584004
1600.0,1450.0,25,12,25.0,350.0,3386.4655543378262,103.99248950320286,103.41979769147525,3786.846754778455
1600.0,1400.0,30,12,25.0,350.0,3405.641778455295,102.46949641154106,102.0360780712226,3788.173822298973
1600.0,1400.0,25,12,25.0,300.0,3389.9239989630237,103.97791759060951,103.4050923143448,3789.880862429125
1600.0,1450.0,30,15,40.0,400.0,3409.3775583129045,102.391027226351,101.95678685428466,3791.4528442791197
1600.0,1400.0,30,15,25.0,400.0,3399.7109932607973,101.1385406343258,100.84272909966397,3793.6563496855033
1600.0,1450.0,25,15,25.0,300.0,3274.6994484018105,106.64466088516586,105.9377069881424,3793.8123049898827
1600.0,1450.0,25,15,30.0,400.0,3415.067631500281,102.33857956831575,101.90379024322674,3796.893449485555
1600.0,1450.0,25,15,30.0,300.0,3290.2933456351375,106.46747755728128,105.75910999879677,3797.2182499574596
1600.0,1350.0,30,15,25.0,350.0,3403.582694137743,101.12410925518955,100.8281270150429,3797.7214550781455
1600.0,1450.0,30,12,35.0,350.0,3398.1318272779517,104.03276997375528,103.46044724386687,3799.703933311167
1600.0,1450.0,25,15,35.0,300.0,3303.610016667969,106.34420260054692,105.63485396927607,3802.355285721825
1600.0,1450.0,30,15,35.0,300.0,3275.407032646773,106.79517011828075,106.08942035962394,3805.2726437765605
1600.0,1450.0,30,15,40.0,300.0,3282.7059840671004,106.70120777191838,105.99470591932588,3805.815637328486
1600.0,1450.0,30,15,30.0,300.0,3267.6569676331856,106.91897592549616,106.21421893322673,3806.6427740999457
1600.0,1450.0,20,15,25.0,300.0,3317.052470348844,106.20272934725658,105.4922573245055,3806.7140615955086
1600.0,1450.0,30,12,25.0,400.0,3424.6832544979134,102.39697352441435,101.96279541469626,3806.7896470231967
1600.0,1450.0,25,15,40.0,300.0,3315.1235117872725,106.25064313689379,105.54055128069764,3807.825219636824
1600.0,1350.0,30,12,30.0,300.0,3425.550299607236,102.4312385459319,101.99741931405393,3807.847142718671
1600.0,1450.0,30,10,25.0,350.0,3410.2146408883027,104.03622436537565,103.46393329776862,3811.8901031930995
1600.0,1450.0,30,15,25.0,300.0,3260.088577833658,107.09687490001993,106.39354801046542,3812.614313733718
1600.0,1450.0,20,15,30.0,300.0,3340.9813789858295,106.0261841267065,105.31431398687012,3819.7622742585186
1550.0,1400.0,30,15,25.0,300.0,3412.583726178543,104.2423497651437,103.67195097041134,3820.7770970373717
1600.0,1400.0,25,15,30.0,350.0,3440.381273248357,102.25224266544961,101.81655051934015,3821.893840985934
1600.0,1400.0,30,10,30.0,300.0,3419.623892220215,104.05677755845784,103.48467491133562,3821.9183156078952
1600.0,1450.0,20,15,35.0,350.0,3428.239783988406,103.75695524750329,103.18210975323882,3822.18451675242
1600.0,1450.0,30,12,25.0,300.0,3309.000653561581,106.5700170049849,105.86246704796801,3822.916946039305
1600.0,1400.0,20,15,30.0,300.0,3430.85386576414,103.74220095467831,103.167220804196,3824.425372967431
1550.0,1450.0,30,15,25.0,350.0,3420.7491605310124,104.19799872121744,103.62719228232412,3827.481875234043
1600.0,1450.0,20,15,35.0,300.0,3360.176727750585,105.90332986414523,105.19048927557348,3831.6839581119
1600.0,1450.0,30,12,40.0,350.0,3433.646733558513,103.91083520321187,103.33739589437681,3831.694595537509
1600.0,1450.0,25,12,25.0,300.0,3347.2877904272937,106.12001486849852,105.40888728239942,3831.788709948435
1600.0,1450.0,30,12,30.0,300.0,3330.766182563964,106.39500445311411,105.68605987721196,3832.8524645765433
1600.0,1400.0,25,12,30.0,300.0,3438.0981092710294,103.8072049523716,103.23281829113228,3833.3404676943746
1600.0,1350.0,25,15,30.0,300.0,3452.8182395194845,102.21208190232085,101.77597015331379,3834.2263949991348
1600.0,1450.0,20,15,25.0,400.0,3455.4607702669887,102.21724388181376,101.78118605290767,3836.88087746005
1600.0,1450.0,20,15,40.0,300.0,3376.16733493707,105.81009706956651,105.09652137386058,3842.3178673938046
1600.0,1300.0,30,15,30.0,300.0,3446.993212193988,100.9991621408175,100.7017031693024,3842.9483236219307
1600.0,1450.0,30,12,35.0,300.0,3349.611678737361,106.27323267368313,105.56332015848001,3843.7595898523364
1600.0,1450.0,25,12,30.0,350.0,3450.233582671719,103.76094966829626,103.18614063459071,3844.2799662689986
1600.0,1350.0,30,12,35.0,300.0,3466.6001564543917,102.31404219100494,101.87899617335876,3848.324619339064
1600.0,1450.0,25,12,30.0,300.0,3376.8567899994005,105.94575269147957,105.23324697915622,3850.8480483358576
1600.0,1450.0,20,15,40.0,350.0,3463.037045347434,103.63383517512254,103.05786693588168,3853.975587938754
1600.0,1450.0,30,12,40.0,300.0,3366.3648711928636,106.18082918052109,105.47018349598913,3854.649290205008
1550.0,1400.0,30,15,30.0,300.0,3452.675828427177,104.06918312723444,103.49719423571396,3855.3471646535927
