beta,tau_r,r_max,c_max,k_c,tau_q,q_max,k_q,cool_amp,cool_mu,cool_sigma,sse,peak,mid_mean,late_mean,jump_pct,tail_err,dip_err,loss
0.079,10,550.0,400.0,0.003,62,0.07,0.08,0.08,45.0,5.0,2327.796960411049,106.72738202058352,106.14014259336982,95.83939471932982,4.463655896520535,8.243748772470546,857.2967431491062,7960.936023525929
0.079,10,550.0,400.0,0.003,62,0.07,0.08,0.12,43.0,3.0,2327.7933633729663,106.72738610102594,106.14014677864543,95.83939825696835,4.463655896520535,8.243782872907609,857.3022825017429,7960.96530245307
0.079,10,550.0,400.0,0.003,62,0.07,0.08,0.12,41.0,2.0,2327.761477351624,106.72780239944586,106.14055634810788,95.83973757348177,4.463655896520535,8.247053981934021,857.3149563878675,7960.972947430043
0.079,10,550.0,400.0,0.003,62,0.07,0.08,0.12,45.0,4.0,2327.8330015345127,106.72723342029103,106.13999654802964,95.83927378934511,4.463655896520535,8.242583131826745,857.3239415314159,7961.14828899269
0.079,10,550.0,400.0,0.003,62,0.07,0.08,0.1,43.0,3.0,2327.8071212855766,106.72795231776249,106.1407038431712,95.83985976887152,4.463655896520535,8.248232139667621,857.3755270866958,7961.36886932648
0.079,10,550.0,400.0,0.003,62,0.07,0.08,0.1,41.0,2.0,2327.78055928262,106.72829923487545,106.14104515277386,95.84014253394588,4.463655896520535,8.250958767048402,857.3860894205919,7961.375265827635
0.079,10,550.0,400.0,0.003,62,0.07,0.08,0.1,45.0,4.0,2327.840150613327,106.72782508302618,106.14057865022042,95.83975604525713,4.463655896520535,8.247232073801413,857.3935772992165,7961.5213572025605
0.079,10,550.0,400.0,0.003,62,0.07,0.08,0.05,41.0,3.0,2327.787497320291,106.7287700019519,106.14150831042983,95.84052624647207,4.463655896520535,8.25465952425999,857.4389759979667,7961.658261543248
0.079,10,550.0,400.0,0.003,62,0.07,0.08,0.05,39.0,2.0,2327.7731341238264,106.72901672978621,106.14175105017785,95.84072734917733,4.463655896520535,8.256599412650488,857.4506397856045,7961.692261436887
0.079,10,550.0,400.0,0.003,62,0.07,0.08,0.05,43.0,4.0,2327.808205543144,106.7286794989309,106.1414192693214,95.84045247823522,4.463655896520535,8.253947994032835,857.4493249506177,7961.748994824602
0.079,10,550.0,400.0,0.003,62,0.07,0.08,0.08,43.0,3.0,2327.820898680414,106.72851853707543,106.14126091020174,95.8403212826594,4.463655896520535,8.252682625208156,857.4487755966496,7961.772499152854
0.079,10,550.0,400.0,0.003,62,0.07,0.08,0.08,41.0,2.0,2327.7996568233757,106.72879607217617,106.14153395925764,95.84054749576939,4.463655896520535,8.254864489673153,857.4572260734853,7961.777636903755
0.079,10,550.0,400.0,0.003,62,0.07,0.08,0.05,45.0,5.0,2327.8265948209214,106.72865754151817,106.14139756104933,95.84043444996058,4.463655896520535,8.25377410729196,857.4636269113679,7961.855121561385
0.079,10,550.0,400.0,0.003,62,0.07,0.08,0.08,45.0,4.0,2327.8473201637375,106.728416748654,106.14116075522443,95.84023830329195,4.463655896520535,8.251882347206813,857.4632165835753,7961.894488728106
0.079,10,550.0,400.0,0.003,62,0.07,0.08,0.12,43.0,2.0,2327.8415622471507,106.72868759635097,106.14142723682428,95.84045907937858,4.463655896520535,8.254011663994865,857.4883951598823,7962.016063121055
0.079,10,550.0,400.0,0.003,62,0.07,0.08,0.12,45.0,3.0,2327.875408582374,106.72839491945709,106.14113929065881,95.84022052441505,4.463655896520535,8.251710887414173,857.4912961434279,7962.092967777084
0.079,10,550.0,400.0,0.003,62,0.07,0.08,0.1,43.0,2.0,2327.8473172395934,106.7290369013256,106.14177089566604,95.84074379057596,4.463655896520535,8.256758020688595,857.5306271155177,7962.244601161217
0.079,10,550.0,400.0,0.003,62,0.07,0.08,0.1,45.0,3.0,2327.8755182588566,106.72879300304292,106.14153093967965,95.84054499412424,4.463655896520535,8.254840359296892,857.5330447410341,7962.308679298777
0.079,10,550.0,400.0,0.003,62,0.07,0.08,0.05,43.0,3.0,2327.8416013024034,106.72936787087559,106.14209651544397,95.841013556875,4.463655896520535,8.259360638763269,857.5586557210388,7962.378061930826
0.079,10,550.0,400.0,0.003,62,0.07,0.08,0.05,41.0,2.0,2327.828332403096,106.7295413316359,106.14226717239194,95.84115494105372,4.463655896520535,8.260724831463765,857.5639378406754,7962.381292290992
0.079,10,550.0,400.0,0.003,62,0.07,0.08,0.05,45.0,4.0,2327.858112874221,106.72930425251926,106.1420339180049,95.84096169432406,4.463655896520535,8.258860253780977,857.5676821037082,7962.454304734904
0.079,10,550.0,400.0,0.003,62,0.07,0.08,0.08,43.0,2.0,2327.8530796243067,106.72938620722644,106.14211455540763,95.84102850244649,4.463655896520535,8.259504840799934,857.572860537385,7962.473162977241
0.079,10,550.0,400.0,0.003,62,0.07,0.08,0.08,45.0,3.0,2327.875637031601,106.72919108790347,106.14192258993978,95.84086946476606,4.463655896520535,8.257970433623925,857.5747947491784,7962.52441822654
0.079,10,550.0,400.0,0.003,62,0.07,0.08,0.12,45.0,2.0,2327.8889881125688,106.72930995196508,106.14203953273264,95.84096634839867,4.463655896520535,8.258905157027689,857.6008329519032,7962.6835856747275
0.079,10,550.0,400.0,0.003,62,0.07,0.08,0.1,45.0,2.0,2327.886848699647,106.72955553217342,106.1422811433924,95.84116651560903,4.463655896520535,8.260836517435287,857.6243276884987,7962.800903930648
0.079,10,550.0,400.0,0.003,62,0.07,0.08,0.05,43.0,2.0,2327.8617370620213,106.7299101678142,106.14263004670701,95.84145557151393,4.463655896520535,8.263625939876812,857.6362134193673,7962.816050281262
0.079,10,550.0,400.0,0.003,62,0.07,0.08,0.05,45.0,3.0,2327.875832246444,106.72978821758421,106.14251006765346,95.84135617247722,4.463655896520535,8.26266667470702,857.6374224061891,7962.8480780052205
0.079,10,550.0,400.0,0.003,62,0.07,0.08,0.08,45.0,2.0,2327.8847127168356,106.72980111284012,106.14252275449749,95.8413666831525,4.463655896520535,8.262768106906872,857.647822926137,7962.918232372633
